designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 66713971822766208",66713971822766208,56.86337622959932,24.066363722871316,0.9291141462005974,-0.36869949650574774,-1.1894092563983707,1.0810527,19.091259,1.2594967,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66713971823084160",66713971823084160,56.86722052603474,24.057876858042132,1.4821907021481042,-0.6248094293206209,-1.091634462556348,1.0912085,20.54006,0.72182655,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66713971823085312",66713971823085312,56.8640089923694,24.06598850327848,,,,,20.993958,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714040542241920",66714040542241920,56.85781919198842,24.07537970066143,0.05352354884863241,0.5589519738665242,0.7384723299973414,1.1052873,19.803144,1.2785873,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714177981190016",66714177981190016,56.87191622115924,24.087486121621573,-0.20886640898712214,0.520597149238131,-0.7852401134010156,1.0962037,19.763596,0.90945435,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714242407113088",66714242407113088,56.84417719866173,24.07670929024956,0.6366701787298602,4.128291217123797,-5.920200702349285,1.0705692,16.887772,1.2687626,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4706.753,4.7615,-1.0807,797.5706,0.2846,0.2225,0.1194
"Gaia DR3 66714246702832128",66714246702832128,56.8367609363885,24.080345816143993,1.933070467694074,-3.9964298114240395,-7.575071779264453,1.1112877,12.631272,1.2979126,-26.214918,"NOT_AVAILABLE",0,true,true,true,false,false,false,true,,,,,,,
"Gaia DR3 66714281062569600",66714281062569600,56.85831297825326,24.09113849428959,0.10550728390826611,1.5652545729943106,0.18006261006814583,1.0609509,15.711439,1.3117914,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 66714281062596736",66714281062596736,56.85273970848359,24.09129593575219,1.8006612079289792,-4.158845011450817,-12.28731649851839,1.0652202,13.740361,1.1672497,-128.49852,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5649.5444,4.2695,-0.0169,533.4189,0.8054,0.6538,0.3509
"Gaia DR3 66714315420148224",66714315420148224,56.840577475434486,24.090873634137548,0.1580615922532367,-1.3119240692348655,-0.4158422460321798,0.9090416,19.765078,1.1041908,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714384139954816",66714384139954816,56.862005757399984,24.09750994982646,,,,,20.87475,0.15673828,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714384141811712",66714384141811712,56.85677438391798,24.10426661074444,1.9847748653778396,50.26094847966394,-28.844458331233383,1.053347,15.897184,1.5220671,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4538.7393,4.676,-0.5127,440.1642,0.7951,0.5996,0.3199
"Gaia DR3 66714384142368256",66714384142368256,56.87125084725649,24.10493447522506,,,,,2.896132,0.14834332,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714418501518848",66714418501518848,56.87239647545671,24.114112461279156,7.311236732528621,20.936026699698907,-44.53787427995938,0.9165302,16.843014,2.087882,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,3233.0422,4.9283,0.0328,142.3917,0.5039,0.3143,0.2156
"Gaia DR3 66714452859095296",66714452859095296,56.851673685586746,24.104913642144737,-0.5476448036191269,0.275825222151614,-0.6936011405633985,1.0841254,19.414461,0.8743801,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66714487218820864",66714487218820864,56.862712615758774,24.121038791713346,0.14501306408146952,3.216514120697685,-3.592202721358418,0.89335585,19.317068,1.3845158,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715071335244032",66715071335244032,56.818379129009486,24.102802926171606,,,,,20.901878,2.0522614,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715071336552320",66715071336552320,56.82506416684544,24.100597656717632,2.4058092071963655,34.69552993117847,-37.6928547992201,1.020617,14.361165,1.2281084,48.83593,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5344.9766,4.5902,-0.576,393.5289,0.7224,0.5786,0.3112
"Gaia DR3 66715105694123520",66715105694123520,56.82982016982982,24.118065523980025,-0.696621516812985,0.28801054024753847,-5.201739220600197,0.91004306,19.548359,1.0543308,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715105694124928",66715105694124928,56.82503612242155,24.114325760097955,0.25439801179907295,-3.2464342513880906,-9.691188491298377,1.089489,19.925125,2.493578,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715105696289024",66715105696289024,56.837760020213594,24.116067483641807,7.199902345703015,20.344160878448307,-45.07643568357508,1.157944,6.29883,0.009374142,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,10292.973,3.9139,-0.9554,138.3649,0.1123,0.1086,0.0578
"Gaia DR3 66715140056028544",66715140056028544,56.810603091689124,24.118018170399477,1.487664512795121,-5.02551234570322,-4.14398053895002,0.95485586,13.370591,0.89510536,-13.610381,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6185.6206,4.2512,-0.5392,655.1704,0.532,0.4501,0.2447
"Gaia DR3 66715174413940992",66715174413940992,56.81753229775729,24.116934165444185,,,,,20.921886,1.8091221,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715174413942016",66715174413942016,56.81710691523296,24.127050767201414,,,,,20.697138,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715174415764736",66715174415764736,56.81909229562351,24.128155937015563,,,,,8.624058,0.6369848,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715174415766144",66715174415766144,56.82575575197103,24.11849678004517,2.7522242765355425,17.18958592580504,-20.838932495360304,0.8954982,15.194072,1.5974922,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4503.2354,4.6342,-0.0464,360.0414,0.7048,0.5284,0.2793
"Gaia DR3 66715174415766656",66715174415766656,56.82045603037588,24.11447098295096,0.8913433034647448,0.36575978438641593,-1.3690441443049024,0.94299954,17.35349,1.45541,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4210.978,4.7814,-0.8131,754.7342,0.0458,0.0342,0.0182
"Gaia DR3 66715208773782912",66715208773782912,56.84288916450584,24.117830921876983,,,,,21.103065,0.37415695,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715208774291968",66715208774291968,56.835615577681644,24.122902734793193,,,,,20.68924,2.7505474,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715243135238912",66715243135238912,56.849720188322955,24.13230864430045,2.199111700879802,-3.2471287630587273,-30.980319317629206,1.2515175,15.423153,1.5595217,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4528.455,4.513,-0.9697,413.1404,0.8914,0.6732,0.3638
"Gaia DR3 66715273197982848",66715273197982848,56.83070036887997,24.138920132623063,7.269312246192696,19.017069653993058,-43.927570681464154,0.874114,8.243902,0.35392094,4.7306995,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,7574.0933,4.1349,-0.6153,137.993,0.0837,0.0763,0.0409
"Gaia DR3 66715380572144768",66715380572144768,56.8094361565452,24.12664763289384,-0.21148970484002777,-1.8674416254053097,0.8277069579701357,1.0349224,20.444714,0.8860111,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715410636984192",66715410636984192,56.79197187528736,24.131100390060347,-0.5421278230850755,-0.0674283306510505,-1.2839500904322636,0.92791706,19.483833,1.3306904,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715414932113792",66715414932113792,56.78876149912725,24.130450626490184,,,,,20.820305,1.6003265,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715449291954304",66715449291954304,56.801263201577996,24.147563406639915,1.126592926828577,-0.8899005844528426,-1.5995269649975516,1.0417795,20.676989,0.4732952,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715449293670016",66715449293670016,56.801492791501246,24.150729228810086,1.0678371643502595,6.1378043222706005,-6.485603402580387,0.9299692,16.922728,1.6181984,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3921.4634,4.4789,-1.0124,690.6965,0.0048,0.0035,0.0019
"Gaia DR3 66715449293672960",66715449293672960,56.794120063425616,24.138080870505615,0.8165488019219193,-3.3024280201949265,2.593396196088058,1.012579,15.96957,1.178976,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5190.0845,4.5758,-0.296,864.6969,0.5032,0.4025,0.2155
"Gaia DR3 66715479357695872",66715479357695872,56.82719532958735,24.13998486373957,0.5307444705398487,-3.796353259348667,-4.997008804921006,1.0721394,16.823868,0.967247,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 66715483651423872",66715483651423872,56.81136061662181,24.142760908746823,1.4208619431002598,2.703626446784541,2.5339362320621603,1.1059704,20.41579,1.7310734,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715483653995648",66715483653995648,56.820529518769085,24.13795210838419,1.8554573635597775,4.523307455108526,-10.832199836117793,1.6782446,18.57086,2.0117931,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715513716910976",66715513716910976,56.826425329895606,24.150996137231648,-0.13487544337465962,0.5393678305740026,-0.4727770340199042,1.0500218,17.149513,1.2255878,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 66715513716911488",66715513716911488,56.8267427023781,24.15803074243757,1.4117673050119408,-2.803808801094994,-4.5785088921647565,0.9789935,17.963816,2.020214,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3559.0115,4.5406,-0.8787,532.035,0.3417,0.236,0.1315
"Gaia DR3 66715582436388096",66715582436388096,56.82235555950361,24.15736749820899,0.16680484710487492,-6.127113806162728,-4.038214039119648,0.98135906,19.083534,2.0794506,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715586730442496",66715586730442496,56.81749376058647,24.163503672615555,-0.2488129973378112,2.3631948502234996,-4.6594655511496175,1.096735,20.357065,1.8791275,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715689809654400",66715689809654400,56.85819185702607,24.152193521748845,2.7463431816483634,-1.1818806293934403,0.9353719376440859,1.039585,19.98807,1.4847488,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715724169760000",66715724169760000,56.86673703647064,24.16498081835405,,,,,20.998638,0.35811234,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66715930327819648",66715930327819648,56.852801977473476,24.165590904022608,0.1881584571913606,-0.642671084182203,-1.5773872618604268,1.0980399,18.379301,1.0598583,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4423.264,4.9039,-1.5767,1067.6573,0.0567,0.0434,0.0234
"Gaia DR3 66715960392819712",66715960392819712,56.834876899011654,24.17084940962312,2.0361845479131886,23.704172730219717,-24.198936061397212,1.0888875,17.349903,2.1131973,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3711.4744,4.4364,-1.2394,417.9254,0.9037,0.625,0.3484
"Gaia DR3 66715960392824064",66715960392824064,56.82834359053271,24.174745187307572,0.2418178758060397,0.683972029329948,-2.3312992578216356,0.96202713,19.698181,1.2570801,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66716029112307584",66716029112307584,56.857118159853435,24.182418182761424,1.7056745994243392,6.82436537957855,-5.0577702664056226,0.9876913,19.898403,1.6965618,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66716033407171328",66716033407171328,56.86025968842132,24.181823077424905,-0.22223002774516504,1.3013412078337283,-15.841847280334976,0.99574596,20.16396,2.1830406,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727853157020416",66727853157020416,56.8361147392517,24.207311834243384,0.290004059332508,1.6545856430902446,0.07092951398401628,1.1967206,18.247732,1.3661098,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 66727165964457216",66727165964457216,56.772532820802006,24.13878115754974,1.061942713293203,1.6135367991733633,2.0809924794318255,2.0372496,15.437298,1.1417952,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5312.6016,4.4141,-1.2079,838.8648,0.5318,0.4308,0.2348
"Gaia DR3 66727200322375936",66727200322375936,56.78345540180996,24.155701121576357,,,,,20.763432,1.3457394,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727230386990976",66727230386990976,56.76592620112243,24.14754639213346,0.6953734270574156,-1.0503451754286868,-4.863315954584545,1.0251335,18.836946,1.3429737,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4010.947,5.2177,-2.0797,425.1358,0.0091,0.0067,0.0036
"Gaia DR3 66727234683931520",66727234683931520,56.76502117317897,24.159487376870935,7.276889102352219,19.333333440782077,-44.72484181110621,1.031376,13.826407,1.8952541,27.351875,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3661.8792,4.3926,-0.7103,136.8787,0.1607,0.1127,0.0624
"Gaia DR3 66727234683932288",66727234683932288,56.7616900137334,24.15617940769551,0.6113429043549267,1.7881220130908573,-2.6481110821826985,1.0064616,16.862316,1.2191525,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4786.002,4.7162,-0.9226,892.7465,0.2808,0.2207,0.1182
"Gaia DR3 66727234683960320",66727234683960320,56.760485086776846,24.149991010998228,0.6880557489691174,0.8559145821449807,-1.5228321253975041,1.0780855,14.433147,0.7796774,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6978.4517,4.2349,-0.7801,1276.7793,0.6974,0.6068,0.3293
"Gaia DR3 66727269041617920",66727269041617920,56.77708715788692,24.171300674132514,2.105299129513531,2.4974514012110776,-3.397311455470069,0.9901017,19.982916,1.4765244,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727299106474624",66727299106474624,56.79053021549827,24.16322317322055,0.6000263657369791,-1.5904894493484543,-2.3224026440072767,1.063103,18.8212,1.6050835,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4024.6995,4.8822,-2.7497,667.135,0.0149,0.011,0.0059
"Gaia DR3 66727299106478464",66727299106478464,56.795617842623635,24.16826405605697,0.6098259069131469,2.070660957299622,-1.0020253161535349,0.9817052,18.338678,1.2193317,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4567.6797,4.9332,-2.3162,1069.901,0.0102,0.0079,0.0043
"Gaia DR3 66727303401692928",66727303401692928,56.80184125508443,24.164643085896753,,,,,21.473366,1.474781,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727303403406208",66727303403406208,56.7934152773269,24.1612331462768,1.040446083904984,10.572933233768556,-18.3191586386224,0.8827427,15.128792,1.1965771,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5568.629,4.4207,-0.1667,773.78,0.8359,0.6754,0.3634
"Gaia DR3 66727333466219648",66727333466219648,56.807256137032994,24.171762145497834,0.49654796306350124,1.0044785693915153,-2.4580871802471576,1.0817982,20.11042,0.9739971,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727337760960640",66727337760960640,56.81445463809975,24.17710393757633,0.8209340153966491,3.3291792357906385,-1.3763114629379642,1.0796822,19.950348,1.0572491,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727402185707136",66727402185707136,56.801466775628846,24.18192630005873,-0.29214440153617505,-0.24979459685793876,-1.2607195645272353,0.9900384,19.325201,1.2714252,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727402185709568",66727402185709568,56.79659275593043,24.186652109624223,2.17216660221118,-5.28836840895386,-8.996108630967734,1.0045115,19.783094,1.9465942,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727406480437248",66727406480437248,56.79671376164294,24.186475826012508,,,,,21.107374,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727436545426304",66727436545426304,56.75303006432337,24.15967196849351,0.7435471435819181,5.721540147529868,-0.1778920138899992,1.141797,18.94999,1.9977741,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3344.8076,4.6452,-1.0898,455.1449,0.0142,0.0096,0.0054
"Gaia DR3 66727440840187264",66727440840187264,56.75176242038376,24.167881230210583,0.7850132033330517,4.685793328499278,-0.8641208878625266,1.0257922,19.973154,1.6468582,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727440842362368",66727440842362368,56.75651670321456,24.159050478942017,0.636883171265498,0.81428537140283,-5.0416437417861495,1.054763,17.627905,1.4636459,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4080.3933,4.7277,-1.1615,779.3614,0.006,0.0044,0.0024
"Gaia DR3 66727475200048000",66727475200048000,56.7651857797042,24.172161909343632,-0.5346305346877688,0.7263815801161714,0.8481124103547707,1.0539565,20.022577,1.524683,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727475202685568",66727475202685568,56.768448780009976,24.172994948178648,0.41104117809357504,10.692783474748534,-9.460384415375326,0.90888906,19.826698,0.92165756,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727505264914304",66727505264914304,56.74523934127903,24.173464763721217,-0.5156194317654371,-0.16207564882959047,-1.6056423938094755,0.94398075,18.529335,0.7115936,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,5648.9897,4.7269,-3.6475,3198.8994,0.0063,0.0053,0.0029
"Gaia DR3 66727505264918016",66727505264918016,56.747802239219844,24.17639192948465,0.6177383615642346,10.988058241102635,-6.490669110123784,0.9363108,18.046736,2.1341667,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3552.6497,4.496,-0.8947,532.7827,0.6116,0.4194,0.2342
"Gaia DR3 66727509561837696",66727509561837696,56.74879525479777,24.17514122171598,0.12253502693017745,-0.6437213597863569,-1.0370661065756401,1.0256096,17.461887,0.9038353,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5306.3755,4.7494,-2.6811,1572.3102,0.0136,0.0112,0.0061
"Gaia DR3 66727539624659712",66727539624659712,56.752029107855506,24.180580098627956,0.7465446085683272,0.6227328373388541,-4.258289350508658,1.0464425,18.77134,2.037941,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3339.7434,4.7299,-1.24,328.0291,0.1984,0.1339,0.0755
"Gaia DR3 66727539624666368",66727539624666368,56.75440988337186,24.19151516829882,0.15087924434235933,0.4607610566271158,-0.30023018805504975,0.9654028,19.1537,1.087429,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727543921574528",66727543921574528,56.75464647679296,24.18277076169349,0.29315956337682136,-0.3281140264960702,-0.5804599714672677,0.95440096,17.190653,0.99754906,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5129.8335,4.7875,-2.1777,1191.0347,0.0293,0.0237,0.013
"Gaia DR3 66727573984393600",66727573984393600,56.775185551294136,24.175798327417656,-0.13419106634641617,0.2832677631630763,-0.4108917702957797,1.0247307,19.00118,0.93580246,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727573984398848",66727573984398848,56.778994135860415,24.181171439281492,-0.16698971955708133,0.35296248747784026,-0.9871792346354766,1.051463,19.455069,1.0085793,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727578279500032",66727578279500032,56.782705639188215,24.183631408432266,,,,,20.718992,2.3698463,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727578281312128",66727578281312128,56.781370547037376,24.18697128877028,0.6559831627481013,2.6025376247539382,-1.7133363279487415,0.95530146,16.512566,1.1792345,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5036.785,4.6539,-0.6349,953.2834,0.3548,0.2826,0.1513
"Gaia DR3 66727608344140288",66727608344140288,56.787441830746836,24.18726998129678,0.6037634242646341,1.9536475157900948,-9.038385779485573,1.0758774,17.75921,1.5560207,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4075.7322,4.8138,-0.8716,776.0342,0.0177,0.0131,0.007
"Gaia DR3 66727608344142080",66727608344142080,56.7863216013858,24.189953849202205,0.7948110673193793,0.9705456843709817,-0.8670364124609697,1.0240084,19.113016,1.440033,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727608345339264",66727608345339264,56.7956847662029,24.191828503939345,7.522340289142643,-3.1470289194384886,-13.371004213809998,1.1750952,20.48234,2.0799885,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66733380780225920",66733380780225920,56.72220118319426,24.33213350210828,0.32312445532108014,-0.7881794513734852,-2.134138006247316,1.096224,19.249578,1.262907,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727612639238528",66727612639238528,56.79007654558823,24.18625042096937,,,,,20.78246,0.98781204,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727677063624960",66727677063624960,56.773885584909856,24.203931456246423,0.48160710602781687,2.1891375235829553,-0.36511718362727036,1.0381687,17.919538,1.2576466,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4562.622,4.8631,-1.4553,1105.8578,0.007,0.0054,0.0029
"Gaia DR3 66727677064295296",66727677064295296,56.77192144703111,24.200126954434644,0.6619209755126803,9.058233963237232,-6.187257883482048,1.1840456,20.269724,2.0345345,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727681358816640",66727681358816640,56.77929967842653,24.20636391833135,,,,,20.896341,0.7030411,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727711423350400",66727711423350400,56.820558488991146,24.17905351079521,0.1798433077039775,0.16032557107087586,-0.5889385884417743,1.019103,19.466177,1.1437035,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727711423352192",66727711423352192,56.82095228149245,24.181563599402804,-0.06725460025176382,0.4670655072751897,-6.757204462786861,1.0149555,19.461946,1.793911,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727715718452480",66727715718452480,56.82628738746423,24.183739501408656,3.7121542851459717,-2.702282302425592,-4.167991468357846,1.006029,20.757267,1.0222149,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727715720263808",66727715720263808,56.825079587715834,24.185057966676446,1.5428397938052443,-0.12428750744333897,-0.6681247934498253,1.7957426,16.730331,1.8622961,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4002.907,4.7543,-0.5206,395.3127,0.6169,0.4429,0.2386
"Gaia DR3 66727745783098112",66727745783098112,56.8323062165387,24.19199950956018,0.12709438797380015,-0.8131646664519941,-4.84904329521977,0.99939126,18.598444,1.4625797,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4302.058,4.8813,-1.9291,1023.0104,0.0069,0.0052,0.0028
"Gaia DR3 66727750077812224",66727750077812224,56.83338402142571,24.189328529850485,2.781994601176222,5.822568871236502,-11.439116076280833,0.94390845,18.526428,3.0265713,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3211.826,4.9468,-0.0194,290.0147,0.5549,0.3449,0.2363
"Gaia DR3 66727750080001536",66727750080001536,56.830865559857834,24.18887466414311,0.04781473410030464,-0.6339323806541537,-12.156165175347788,1.1430463,19.408573,2.3822212,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727780142747904",66727780142747904,56.81378280664242,24.193132051216683,2.7521084165665615,28.600908425063345,-12.602972835125005,0.8731677,12.193225,0.9852438,57.901287,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5935.62,4.1091,-0.4979,361.1705,0.5929,0.4946,0.2686
"Gaia DR3 66727784437554176",66727784437554176,56.80480107147294,24.19599207737574,-1.0165186641079247,2.2164416468686943,-8.336931418156883,1.1619601,19.85529,1.9865685,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727814502579328",66727814502579328,56.821948308063725,24.209241187370246,0.29705931958394394,-0.32411930445036297,-0.4440591512637936,0.9723698,19.560669,0.8394966,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727848862317568",66727848862317568,56.8363495994995,24.208139771289183,0.40366450342841376,2.528747592447113,0.3615469411120823,1.2064629,17.940184,1.2355862,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4457.8,4.7305,-3.4913,1000.7837,0.0854,0.0659,0.0361
"Gaia DR3 66727848862987008",66727848862987008,56.84648073949759,24.1980267534816,1.1803611900298316,2.2351720164236317,1.3452367612317264,1.3767428,19.550627,2.184431,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727848862987520",66727848862987520,56.8481797514775,24.20478283119259,2.7256602365511577,10.690116019654855,8.03159812810471,0.9718265,19.860775,2.4505768,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727883222056832",66727883222056832,56.84801414589774,24.212306818949664,0.8016979614444146,13.79944487573975,0.24316140249744403,0.9686815,20.107395,2.3908463,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727990596187648",66727990596187648,56.79766722081968,24.205221917045474,-0.8285164956844063,-2.447418249504885,-7.5347964890819945,1.0774804,20.309381,1.115736,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 66727990598204160",66727990598204160,56.79884941252394,24.206534118178062,1.0940066793251493,5.218749508090636,-8.720318548819852,0.8938366,18.626608,1.8727665,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3654.3083,4.5757,-1.8213,519.1931,0.0089,0.0063,0.0034
"Gaia DR3 66727990598204288",66727990598204288,56.79638686364001,24.2054572164224,1.3390711132953022,-1.2097293144425216,7.815355725126817,1.0337431,13.600222,0.96290874,-35.434284,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6297.5337,4.203,-0.8689,727.3336,0.748,0.6314,0.3451
