designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 65218601649771264",65218601649771264,56.5107816895224,24.045015587163316,-0.7802087700076319,2.1315644402213247,-4.296880661067215,0.96902287,20.706377,1.3116226,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65218601650940160",65218601650940160,56.51922972387155,24.04021143888227,1.5892050023147106,-6.671825820670404,-8.647793783673913,1.7398857,18.107147,2.7796707,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 65218601651442688",65218601651442688,56.516664932773395,24.045433810696146,1.1532515650101365,6.072150555153832,-9.450632871717216,0.97102356,10.777299,1.54953,-15.526288,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4930.781,2.7088,-0.0431,749.6398,1.0192,0.7772,0.4098
"Gaia DR3 65219323203271296",65219323203271296,56.40512056334269,23.966563108757615,2.0692215366348297,21.11171265588063,-14.717168213430911,0.9167703,19.12918,2.8529968,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65219323203994880",65219323203994880,56.401994827064996,23.951693203060223,1.2489463304304205,2.3370161180087625,-3.600895306821317,1.0780137,20.412796,0.64562416,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65219323205364992",65219323205364992,56.40567910899805,23.96600844275241,0.3650992131763164,2.746189995893407,-1.506747119214292,1.0151365,18.065483,1.2561016,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4629.8066,4.8975,-1.7974,1093.4882,0.1189,0.0929,0.0503
"Gaia DR3 65219353268589696",65219353268589696,56.41078056736695,23.969518376765002,0.5561535063676528,3.623695606582811,-4.738663673745529,0.9806773,18.395569,1.9638081,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3600.0557,4.3089,-1.7712,562.7286,0.2311,0.162,0.0875
"Gaia DR3 65219357563890304",65219357563890304,56.42082858839778,23.966856155098508,,,,,20.822073,2.2125225,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 65219357565102208",65219357565102208,56.410159590139585,23.971160437990914,0.751615418203513,4.850144519200897,0.19276707403221835,1.1316757,15.815628,1.1981678,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5130.788,4.3342,-1.5204,1040.7373,0.54,0.4331,0.2367
"Gaia DR3 65219391924842368",65219391924842368,56.38808362097311,23.970648662997135,0.2449618119216895,-2.432972441876121,-2.165658682754209,1.0057186,18.083447,1.1753368,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4750.741,4.9177,-3.805,1131.068,0.1597,0.1258,0.0693
