SOURCE_ID,ra,dec,parallax,bp_rp,phot_g_mean_mag,teff_gspphot,radius_gspphot,dist_pc,abs_g_mag
3949891142195943552,182.85272898093996,18.190873638514947,1.2905117655374114,1.0508757,15.338328,4990.899,0.6549,774.8863874817656,5.892138203216682
3949891172260392704,182.85040581843577,18.20267090940909,1.3842000488519364,2.2764053,18.929966,3242.0178,0.2438,722.4389284116886,9.635960274060855
3949891520153066880,182.8723367199359,18.232834813511502,1.7211343487214146,2.0925522,17.562376,3592.6875,0.4984,581.0121683660974,8.741449881911223
3949891618936994176,182.9016166870462,18.217046476049607,1.2539879865943806,2.2850113,18.746815,3383.8164,0.3479,797.4558055502836,9.2382816073031
3949891859455167616,182.9287592499183,18.26098485883291,5.2821463304179925,3.0371227,17.937328,3204.2795,0.3176,189.3169816673494,11.55138047974849
3949893268204440960,182.94300330878787,18.265111772677916,1.286281911470369,1.5641308,17.0116,4230.0747,0.5943,777.4345507641357,7.558281306137408
3949900247526614784,183.0153087118618,18.374876567558925,3.0303485969657364,2.0583878,16.803947,3794.7285,0.4588,329.9950378650469,9.21141040152332
3949977071606113024,182.52745133479812,18.06816325393181,1.7620706308504175,2.2044926,18.564152,3318.9565,0.3269,567.5141407455251,9.794268327354617
3949977110261549440,182.48621213562146,18.04069367696379,1.324785883174715,2.4079247,18.42441,3449.8716,0.3592,754.8389612996187,9.0351383246029
3949977247700298752,182.50767767269042,18.06502722825619,1.924050734300933,1.584135,15.671432,4432.3506,0.6566,519.7368147172746,7.092514139142173
3949977797456117632,182.5463998701189,18.10164840295901,1.0960733211461016,1.3454895,16.18604,4499.383,0.8373,912.3477241051327,6.385238913198586
3949979614226752384,182.38657690203047,18.076600082799327,4.558946969705575,2.7471561,18.022816,3247.6252,0.2355,219.3488993500141,11.317138406638481
3949980851177339520,182.537954998661,18.122733769266013,2.5062371734664888,2.6492805,18.138405,3400.306,0.3789,399.00453579852353,10.133515682781809
3949980885537079424,182.50947774990317,18.12935387727443,2.494134318966189,2.8426876,18.917303,3171.1333,0.2773,400.9407161417421,10.901902276539055
3949980954256554880,182.48708387203882,18.124275755848053,2.1398948975136345,2.1440582,18.862959,3379.463,0.2577,467.3126708988886,10.514921124007385
3949981263494198784,182.43589816778976,18.112554229103665,1.0468708990334639,1.4554329,17.668484,4281.92,0.6483,955.2276225495063,7.767949371300627
3949981336509152128,182.4233159322075,18.124901080582568,1.9656035746391263,1.5558872,16.168276,4134.1973,0.5538,508.74958353878367,7.635755499524995
3949981645746798592,182.4167215846985,18.150323632690835,1.318205823485116,1.6656055,17.316288,3937.5303,0.4975,758.6068747262602,7.916204123918224
3949981985048713984,182.4778412390248,18.173803982422633,1.753128041939198,2.74992,18.916185,3219.182,0.297,570.4089924281081,10.135253561542072
3949982126783348864,182.4298613709361,18.177985153320023,1.3200131255577854,2.2829819,18.967203,3358.5376,0.3179,757.5682246170389,9.570094388443255
3949982848337654144,182.6381395772923,18.120482528058876,3.6756224940327367,2.7227,17.842348,3262.2905,0.346,272.0627598790328,10.669002602018688
3949982912761640832,182.69009425147686,18.11927781307757,1.665842304099768,2.1613789,18.582329,3342.4233,0.2616,600.2969173846299,9.690498230417631
3949983123215561472,182.70028963026402,18.14548708318979,1.2710501998519912,1.7669868,17.191427,3852.693,0.4645,786.7509875821161,7.712240747130508
3949983153279809664,182.66333873388808,18.12154729935212,1.865509440721315,2.0720425,18.145145,3530.7683,0.3683,536.0466037702503,9.499132672269702
3949983462517454592,182.59853374059864,18.115527133602125,1.7477932339584317,2.1158237,18.086788,3469.44,0.3549,572.1500578962554,9.29923844637845
3949984836906997120,182.71409478978035,18.16884127624244,2.3118561181017996,1.9246826,18.696785,3430.6963,0.3706,432.5528704706208,10.516588981188711
3949984944281696000,182.7224586306229,18.187141222712516,1.0335605151119527,1.313631,16.658546,4444.282,0.8902,967.5292209587578,6.7302259963043
3949985695900461184,182.67523531611556,18.19507709545933,1.4844950144613656,2.241787,18.67267,3360.7454,0.3757,673.6297463166895,9.530564081364034
3949986799707566208,182.5384307475219,18.14369841602174,4.525385531090853,1.5605907,13.947949,4358.1104,0.7211,220.97564795964422,7.226227329282748
3949987242088688256,182.54707637344228,18.196276545694328,2.2392833670073578,2.4892616,17.684494,3465.5432,0.8002,446.5714409947271,9.435039289801319
