SOURCE_ID,ra,dec,parallax,bp_rp,phot_g_mean_mag,teff_gspphot,radius_gspphot,dist_pc,abs_g_mag
2229220075393971968,356.6192405689955,74.56747913714574,47.94857629610862,2.8534994,13.241564,3006.6255,0.2588,20.85567658619214,11.645442379460276
1875076004382831616,336.188857213385,22.550795982080913,47.92257888430325,1.4231887,8.493871,4395.6416,0.7084,20.866990535176395,6.89657163986755
2101469984033864320,289.9216249235276,41.462723228961,47.90422737271114,3.6048985,14.732755,2909.7473,0.1592,20.87498441880005,13.134623907356236
1665517334465010432,201.49553294547505,63.2622574520046,47.88807933594948,0.8900275,6.3272867,5527.141,1.0847,20.88202354044511,4.728423815227281
3456337827237371264,86.51057429433878,37.28238239239905,47.85510637674717,1.0079832,7.121149,5093.1216,0.9007,20.8964115997849,5.520790492893196
6096524382383054720,213.91199270565843,-45.00136869927594,47.84205393669157,0.7626858,6.17243,5830.654,1.0299,20.90211263344337,4.5714791201749145
6667318634003429504,300.64902421469355,-50.05437258295916,47.8412876485843,1.3660979,8.259197,4529.33,0.7528,20.90244742878679,6.658211535990489
1124490096714712960,141.71504784694056,75.93383783985591,47.83514271573157,1.4565015,8.568129,4300.9624,0.733,20.905132570475836,6.966863955887313
4710180171260274816,14.342079212288699,-62.24502641337996,47.82949723188853,1.6105366,8.946435,4200.0415,0.6894,20.907600076826384,7.3449140533388135
2032017717217569152,296.3979938222119,30.00976917390611,47.809221466186465,1.4767876,8.693278,4281.088,0.702,20.916466935301585,7.090836670809393
4344429586787123072,246.88751162895812,-10.009344511209727,47.78323899758434,2.064002,10.007336,3691.5237,0.6026,20.927840409700032,8.403713588644944
1312891585932617344,252.66960320581987,30.761733504770703,47.773518686927495,3.4963188,14.683136,2939.2656,0.1529,20.93209852414817,13.079072135181372
1814241194252808704,310.1886475671385,19.936923797338924,47.745688014679516,0.7860074,6.2850785,5746.573,1.0073,20.94429971754827,4.679749305038365
751145975699350656,159.6360856022338,35.49824280594702,47.74403181142878,2.4288158,11.306086,3248.098,0.4782,20.945026258981,9.700681040664096
676804558572501120,122.3774458471273,21.90449525992884,47.7384996028078,2.2683525,10.863982,3232.735,0.5765,20.9474534876497,9.258326026755764
2035035258143206016,296.61489324314385,33.72829679392363,47.737949047382585,1.2699723,8.223257,4565.4785,0.7222,20.94769507184827,6.617575847794094
2724890053318383232,329.36098703370953,8.13764621566758,47.722729778733175,2.1756058,10.135839,3597.1438,0.6178,20.954375506944135,8.529465850802119
694917878769233408,139.58865228454928,27.310833670936205,47.71801824368546,1.6512747,8.960779,3931.0183,0.7675,20.956444479592996,7.354191184449005
2439763461052925824,355.4150299877019,-6.597754821436875,47.7113036947975,3.1483421,13.533248,3068.0635,0.2288,20.959393740251983,11.92635436602734
4322492440039701120,291.7059058571897,16.716181268181057,47.705517354155745,2.669032,11.8163395,3081.0752,0.4547,20.9619359659431,10.20918254291416
5946685759563224960,265.0999815874886,-49.416365160249036,47.70449668181444,0.58799124,4.6307707,6494.879,1.7131,20.96238446178204,3.02356727367315
5435991775558944512,144.07985360745843,-37.67655595803627,47.69997380276838,2.5034647,11.9484825,3148.1296,0.393,20.96437210080737,10.3410732160375
474648763011926272,58.770044816655975,61.16571579707413,47.69756852449565,1.0546818,7.593065,4943.2183,0.7868,20.965429285696988,5.985545988033458
2035020964491479552,296.38974173757515,33.60003558627211,47.67111290338257,1.2055502,8.02304,4665.525,0.749,20.977064286851242,6.41431627202846
